Geo Point;Geo Shape;CODE_EXPL;NOM_EXPL;ID_HASTUS;NOM_ARRET;ADRESSE;X_PHYS;Y_PHYS;X_PROJ;Y_PROJ;X_DECALE;Y_DECALE;CONC_LIGNE;CONC_PTY;CONC_MODE;CODE_INSEE;COMMUNE
43.52092553827879, 1.3975929216553897;"{""coordinates"": [1.39759292165539, 43.52092553827879], ""type"": ""Point""}";6192449487677451;tisseo;11412;Ateliers Municipaux;ANCIENNE ROUTE IMPÉRIALE;1570461.0;2259105.0;1570472.8;2259098.7;1570468.55691559;2259101.34503963;316 317 320;316/10 317/11 320/7;bus;31433;PORTET-SUR-GARONNE
43.57442253342972, 1.3861966332099462;"{""coordinates"": [1.386196633209946, 43.57442253342972], ""type"": ""Point""}";6192449487677451;tisseo;6831;Ateliers Métro;RUE PAUL MESPLÉ;1569654.0;2265065.0;1569649.8;2265063.0;1569654.36642945;2265065.03659571;18;18/39 18/40;bus;31555;TOULOUSE
43.642499206389864, 1.4676234095380742;"{""coordinates"": [1.467623409538074, 43.642499206389864], ""type"": ""Point""}";6192449487677451;tisseo;6570;Atlanta;ROUTE D'ALBI;1576368.0;2272504.0;1576354.2;2272507.4;1576358.80358894;2272505.44901133;40 43 73 76 L09;40/5 43/123 73/82 76/42 L09/33;bus;31555;TOULOUSE
43.613573398247745, 1.3415965709466944;"{""coordinates"": [1.341596570946694, 43.613573398247745], ""type"": ""Point""}";6192449487677451;tisseo;20520;Aubrac;BOULEVARD MARCEL DASSAULT;1566138.0;2269484.0;1566141.4;2269488.7;1566138.6858673;2269484.50077582;21;21/15;bus;31149;COLOMIERS
43.58305587287722, 1.4818458631429965;"{""coordinates"": [1.481845863142996, 43.58305587287722], ""type"": ""Point""}";6192449487677451;tisseo;251;Aude;CHEMIN MAL CLABEL;1577396.0;2265880.0;1577393.3;2265874.9;1577395.96996496;2265879.12744451;51 L08;51/11 L08/53;bus lineo;31555;TOULOUSE
43.674820298112174, 1.518356015220181;"{""coordinates"": [1.518356015220181, 43.674820298112174], ""type"": ""Point""}";6192449487677451;tisseo;32251;Aurore;CHEMIN DE CASTELVIEL;1580524.0;2276021.0;1580526.0;2276025.0;1580524.11410869;2276020.3692966;SC19;SC19/4;scolaire;31273;LAPEYROUSE-FOSSAT
43.69122501321432, 1.356530016256452;"{""coordinates"": [1.356530016256452, 43.69122501321432], ""type"": ""Point""}";6192449487677451;tisseo;17060;Aussonnelle;D2;1567512.0;2278086.0;1567508.5;2278081.3;1567511.94065935;2278084.92781248;130 171 71;130/4 130/8 171 71/29;TAD bus;31541;SEILH
43.52632125004285, 1.4865461528291273;"{""coordinates"": [1.486546152829127, 43.52632125004285], ""type"": ""Point""}";6192449487677451;tisseo;14951;Auzeville Eglise;PLACE DE L'ÉGLISE;1577662.0;2259571.0;1577663.9;2259574.3;1577662.03407417;2259569.66122567;56;56/7 56/8;bus;31035;AUZEVILLE-TOLOSANE
43.70841044339092, 1.3827597962364615;"{""coordinates"": [1.382759796236462, 43.70841044339092], ""type"": ""Point""}";6192449487677451;tisseo;27211;Avenir;D63;1569663.0;2279954.0;1569665.8;2279948.2;1569664.00278883;2279952.86583669;130;130/11;bus;31293;LESPINASSE
43.64714764262409, 1.4523203060020642;"{""coordinates"": [1.452320306002064, 43.64714764262409], ""type"": ""Point""}";6192449487677451;tisseo;27921;Avondo;RUE THÉRÈSE AVONDO;1575143.0;2273043.0;1575142.6;2273052.0;1575142.9834825;2273047.01472757;26 SC33 SC34 SC35;26/15 26/6 SC33/3 SC34/4 SC35/7;bus scolaire;31555;TOULOUSE
43.634308758123666, 1.4670606758731581;"{""coordinates"": [1.467060675873158, 43.634308758123666], ""type"": ""Point""}";6192449487677451;tisseo;321;Avranches;CHEMIN DE NICOL;1576306.0;2271595.0;1576308.9;2271599.9;1576306.28139428;2271595.6405512;19;19/30;bus;31555;TOULOUSE
43.63430287903322, 1.4672963166352724;"{""coordinates"": [1.467296316635272, 43.63430287903322], ""type"": ""Point""}";6192449487677451;tisseo;320;Avranches;CHEMIN DE NICOL;1576325.0;2271594.0;1576323.4;2271591.0;1576326.02804119;2271595.25363368;19;19/29;bus;31555;TOULOUSE
