quartier,distance_transport_m,est_metro_proche
Capitole / Carmes,240.4,0
Capitole / Carmes,88.3,0
Côte Pavée / Jolimont,50.1,0
Borderouge / Bagatelle,18.9,0
Rangueil / Saouzelong,8.7,0
Capitole / Carmes,33.1,0
Côte Pavée / Jolimont,23.3,0
Croix-Daurade / Minimes,172.2,0
Rangueil / Saouzelong,269.6,0
Rangueil / Saouzelong,73.8,0
Capitole / Carmes,68.3,0
Rangueil / Saouzelong,97.2,0
Côte Pavée / Jolimont,89.2,0
Côte Pavée / Jolimont,89.2,0
Rangueil / Saouzelong,97.2,0
Côte Pavée / Jolimont,69.4,0
Borderouge / Bagatelle,194.1,0
Rangueil / Saouzelong,200.4,0
Côte Pavée / Jolimont,290.6,0
Côte Pavée / Jolimont,245.9,0
Capitole / Carmes,235.9,0
Côte Pavée / Jolimont,98.2,0
Rangueil / Saouzelong,80.1,0
Côte Pavée / Jolimont,356.5,0
Côte Pavée / Jolimont,80.6,0
Rangueil / Saouzelong,115.7,0
Rangueil / Saouzelong,115.7,0
Rangueil / Saouzelong,32.9,0
Croix-Daurade / Minimes,386.2,0
Rangueil / Saouzelong,116.3,0
Croix-Daurade / Minimes,157.0,1
Saint-Cyprien / Empalot,10.1,0
Rangueil / Saouzelong,32.9,0
Rangueil / Saouzelong,32.9,0
Côte Pavée / Jolimont,202.2,0
Borderouge / Bagatelle,159.9,0
Capitole / Carmes,95.9,0
Borderouge / Bagatelle,191.2,0
Borderouge / Bagatelle,33.7,0
Saint-Cyprien / Empalot,121.3,0
Borderouge / Bagatelle,63.7,0
Borderouge / Bagatelle,83.7,0
Capitole / Carmes,64.9,0
Côte Pavée / Jolimont,111.1,0
Côte Pavée / Jolimont,26.1,0
Borderouge / Bagatelle,159.8,0
Borderouge / Bagatelle,142.8,0
Borderouge / Bagatelle,172.2,0
Borderouge / Bagatelle,161.0,0
Côte Pavée / Jolimont,112.3,0
Croix-Daurade / Minimes,131.2,0
Rangueil / Saouzelong,110.3,0
Capitole / Carmes,83.0,0
Borderouge / Bagatelle,78.4,0
Capitole / Carmes,64.9,0
Borderouge / Bagatelle,178.7,0
Rangueil / Saouzelong,69.8,0
Rangueil / Saouzelong,156.5,0
Rangueil / Saouzelong,84.0,0
Capitole / Carmes,217.6,1
Borderouge / Bagatelle,208.0,0
Côte Pavée / Jolimont,105.5,0
Borderouge / Bagatelle,200.0,0
Côte Pavée / Jolimont,446.7,0
Croix-Daurade / Minimes,14.3,0
Croix-Daurade / Minimes,250.4,0
Borderouge / Bagatelle,215.9,0
Côte Pavée / Jolimont,137.0,0
Capitole / Carmes,273.9,0
Rangueil / Saouzelong,69.4,0
Rangueil / Saouzelong,69.4,0
Rangueil / Saouzelong,69.4,0
Côte Pavée / Jolimont,242.2,0
Saint-Cyprien / Empalot,46.1,0
Capitole / Carmes,64.9,0
Borderouge / Bagatelle,245.6,0
Borderouge / Bagatelle,184.5,0
Côte Pavée / Jolimont,387.2,1
Rangueil / Saouzelong,51.3,0
Rangueil / Saouzelong,51.3,0
Rangueil / Saouzelong,206.9,0
Capitole / Carmes,194.5,0
Croix-Daurade / Minimes,20.9,0
Saint-Cyprien / Empalot,144.1,0
Capitole / Carmes,366.9,0
Côte Pavée / Jolimont,277.9,0
Saint-Cyprien / Empalot,151.6,0
Rangueil / Saouzelong,201.8,0
Borderouge / Bagatelle,273.9,0
Borderouge / Bagatelle,148.0,0
Capitole / Carmes,164.5,0
Croix-Daurade / Minimes,131.9,0
Rangueil / Saouzelong,156.5,1
Rangueil / Saouzelong,88.8,0
Saint-Cyprien / Empalot,19.4,0
Saint-Cyprien / Empalot,197.9,0
Rangueil / Saouzelong,80.9,0
Borderouge / Bagatelle,137.0,0
Côte Pavée / Jolimont,254.6,0
Croix-Daurade / Minimes,207.0,0
Croix-Daurade / Minimes,207.0,0
Capitole / Carmes,298.9,0
Borderouge / Bagatelle,97.0,0
Rangueil / Saouzelong,80.9,0
Rangueil / Saouzelong,80.9,0
