id_mutation,distance_transport_m,est_metro_proche,mode_arret_proche
5630,124.5,0,bus
5631,308.7,0,bus
5632,29.2,0,bus lineo
5633,129.3,0,bus lineo
5634,196.9,0,bus
5635,146.0,0,bus
5636,189.2,0,lineo
5637,77.7,0,bus lineo scolaire
5638,172.7,0,bus lineo
5639,172.7,0,bus lineo
5640,100.1,0,bus
5641,154.6,0,bus
5642,16.3,0,bus scolaire
5643,75.4,0,lineo
5644,106.4,1,metro
5645,14.4,0,bus lineo
5646,241.5,0,bus lineo
5647,73.3,0,bus
5648,66.4,0,bus
5649,73.7,0,bus
5650,223.9,0,bus
5651,145.3,0,bus
5652,203.2,0,bus
5653,94.4,0,bus lineo
5654,296.0,0,bus lineo
5655,80.4,0,bus
5656,377.1,0,bus
5657,75.7,0,lineo
5658,122.2,0,lineo scolaire
5659,122.2,0,lineo scolaire
5660,122.2,0,lineo scolaire
5661,27.7,0,bus
5662,137.4,0,bus
5663,121.4,0,bus
5664,81.5,0,bus
5665,147.2,0,bus
5666,82.4,0,tram
5667,64.9,0,bus
