surface_m2,nb_pieces,is_maison,revenu_median_mensuel,taux_pauvrete_pct,population_2019,part_jeunes_pct,part_seniors_pct,mois_mutation,distance_transport_m,est_metro_proche,q_Bagatelle / Reynerie,q_Borderouge / Croix-Daurade,q_Capitole / Carmes,q_Côte Pavée / Jolimont,q_Rangueil / Saouzelong,q_Saint-Cyprien / Arènes
130.0,5,1,1638.4,25.8,70238,27.7,10.2,11,177.8,0.0,False,False,False,True,False,False
55.0,2,0,2324.5,16.1,83796,41.1,13.4,11,,,False,False,True,False,False,False
52.0,3,0,2155.0,15.3,70863,28.8,15.8,6,68.4,0.0,False,False,False,False,False,True
37.0,2,0,1529.5,36.2,105462,32.7,11.3,8,,,False,False,False,False,True,False
44.0,2,0,1638.4,25.8,70238,27.7,10.2,4,,,False,False,False,True,False,False
54.0,3,0,2155.0,15.3,70863,28.8,15.8,1,126.4,0.0,False,False,False,False,False,True
30.0,2,0,2155.0,15.3,70863,28.8,15.8,3,,,False,False,False,False,False,True
90.0,4,0,1638.4,25.8,70238,27.7,10.2,11,,,False,False,False,True,False,False
105.0,4,0,1956.6,18.3,66372,26.5,15.3,5,68.1,0.0,True,False,False,False,False,False
21.0,1,0,2155.0,15.3,70863,28.8,15.8,7,,,False,False,False,False,False,True
27.0,1,0,1638.4,25.8,70238,27.7,10.2,7,,,False,False,False,True,False,False
54.0,3,0,1935.5,19.1,96734,32.2,13.0,11,,,False,True,False,False,False,False
53.0,2,0,1638.4,25.8,70238,27.7,10.2,3,,,False,False,False,True,False,False
44.0,2,0,1638.4,25.8,70238,27.7,10.2,3,,,False,False,False,True,False,False
46.0,2,0,2324.5,16.1,83796,41.1,13.4,9,,,False,False,True,False,False,False
50.0,2,0,2324.5,16.1,83796,41.1,13.4,7,,,False,False,True,False,False,False
46.0,2,0,1956.6,18.3,66372,26.5,15.3,10,,,True,False,False,False,False,False
80.0,4,0,1638.4,25.8,70238,27.7,10.2,5,,,False,False,False,True,False,False
110.0,5,1,1529.5,36.2,105462,32.7,11.3,2,158.4,0.0,False,False,False,False,True,False
42.0,2,0,2324.5,16.1,83796,41.1,13.4,12,,,False,False,True,False,False,False
100.0,3,0,2324.5,16.1,83796,41.1,13.4,9,,,False,False,True,False,False,False
48.0,2,0,1638.4,25.8,70238,27.7,10.2,6,103.7,0.0,False,False,False,True,False,False
18.0,1,0,2324.5,16.1,83796,41.1,13.4,5,,,False,False,True,False,False,False
56.0,3,0,1529.5,36.2,105462,32.7,11.3,9,,,False,False,False,False,True,False
125.0,8,1,1956.6,18.3,66372,26.5,15.3,4,,,True,False,False,False,False,False
45.0,2,0,1935.5,19.1,96734,32.2,13.0,12,,,False,True,False,False,False,False
67.0,4,0,1638.4,25.8,70238,27.7,10.2,7,,,False,False,False,True,False,False
42.0,2,0,1529.5,36.2,105462,32.7,11.3,12,,,False,False,False,False,True,False
35.0,1,0,2324.5,16.1,83796,41.1,13.4,1,,,False,False,True,False,False,False
160.0,6,1,1638.4,25.8,70238,27.7,10.2,11,,,False,False,False,True,False,False
98.0,4,1,1935.5,19.1,96734,32.2,13.0,3,,,False,True,False,False,False,False
20.0,1,0,2324.5,16.1,83796,41.1,13.4,4,72.2,0.0,False,False,True,False,False,False
30.0,1,0,1638.4,25.8,70238,27.7,10.2,8,,,False,False,False,True,False,False
26.0,1,0,1956.6,18.3,66372,26.5,15.3,8,,,True,False,False,False,False,False
93.0,5,0,1638.4,25.8,70238,27.7,10.2,3,71.5,0.0,False,False,False,True,False,False
167.0,5,1,1935.5,19.1,96734,32.2,13.0,1,,,False,True,False,False,False,False
125.0,4,1,2324.5,16.1,83796,41.1,13.4,12,,,False,False,True,False,False,False
67.0,3,0,1935.5,19.1,96734,32.2,13.0,2,257.0,0.0,False,True,False,False,False,False
30.0,1,0,1638.4,25.8,70238,27.7,10.2,10,,,False,False,False,True,False,False
37.0,2,0,1529.5,36.2,105462,32.7,11.3,9,135.3,0.0,False,False,False,False,True,False
56.0,2,0,1638.4,25.8,70238,27.7,10.2,6,,,False,False,False,True,False,False
64.0,3,0,1935.5,19.1,96734,32.2,13.0,5,,,False,True,False,False,False,False
43.0,2,0,1956.6,18.3,66372,26.5,15.3,12,,,True,False,False,False,False,False
115.0,5,1,1529.5,36.2,105462,32.7,11.3,8,,,False,False,False,False,True,False
76.0,4,1,1935.5,19.1,96734,32.2,13.0,2,,,False,True,False,False,False,False
68.0,3,0,2155.0,15.3,70863,28.8,15.8,9,53.9,0.0,False,False,False,False,False,True
63.0,4,0,1638.4,25.8,70238,27.7,10.2,7,,,False,False,False,True,False,False
21.0,1,0,1638.4,25.8,70238,27.7,10.2,1,106.1,0.0,False,False,False,True,False,False
150.0,6,1,1529.5,36.2,105462,32.7,11.3,4,9.6,0.0,False,False,False,False,True,False
22.0,1,0,2155.0,15.3,70863,28.8,15.8,1,,,False,False,False,False,False,True
38.0,2,0,1935.5,19.1,96734,32.2,13.0,6,,,False,True,False,False,False,False
100.0,4,0,1638.4,25.8,70238,27.7,10.2,9,12.4,0.0,False,False,False,True,False,False
67.0,2,0,1935.5,19.1,96734,32.2,13.0,7,70.5,0.0,False,True,False,False,False,False
86.0,4,1,1956.6,18.3,66372,26.5,15.3,1,,,True,False,False,False,False,False
84.0,4,0,1638.4,25.8,70238,27.7,10.2,3,301.2,0.0,False,False,False,True,False,False
44.0,2,0,2155.0,15.3,70863,28.8,15.8,7,,,False,False,False,False,False,True
35.0,1,0,1638.4,25.8,70238,27.7,10.2,1,144.3,0.0,False,False,False,True,False,False
100.0,3,0,2155.0,15.3,70863,28.8,15.8,3,,,False,False,False,False,False,True
20.0,1,0,1935.5,19.1,96734,32.2,13.0,9,115.5,0.0,False,True,False,False,False,False
18.0,1,0,2155.0,15.3,70863,28.8,15.8,8,,,False,False,False,False,False,True
